;loss_train;loss_val;metric_train;metric_val
0;0.060616318177370315;0.433796647716971;0.6833223841692272;0.6919936422331661
1;0.061210080996510326;0.45410564483380783;0.6846073363956652;0.6594825246206978
2;0.07021907792003604;0.4855085155543159;0.670004519192796;0.6245200446277273
3;0.09370979710230005;0.5230989935351353;0.6356055195394316;0.590390640146592
4;0.1186900110081162;0.5739968839813682;0.5983164828074606;0.5519969545158685
5;0.14893850675065834;0.6266645999515758;0.5461798471055532;0.5020011000189126
6;0.20235154032638109;0.6797693418521508;0.4700569769269542;0.422361580034097
7;0.26453561819388616;0.7287891121471629;0.37206564294664485;0.3460703273029888
8;0.31230144552203376;0.7724263165511337;0.2945105162890334;0.28857381857347253
9;0.35133492804709765;0.8123122839366689;0.229886772601228;0.23293217045127176
